Date Time (UTC)	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter	AoI (degree)	PD Temp (ºC)	Ambient Temp (ºC)	Ambient RH (%)
3/15/2023 13:15:00 	3.500000000	4.963894844	NaN	-0.000000000	0.027561686	0.000119947	1.833272727	0.022559215	1	0	22.6	23.1	28
3/15/2023 13:15:22 	3.600000000	5.077645779	NaN	-0.000000000	0.028303114	0.000165503	1.890136364	0.024630358	1	0	22.6	23.1	28
3/15/2023 13:15:45 	3.700000000	5.184135914	NaN	-0.000000000	0.029150499	0.000232218	1.948136364	0.017185882	1	0	22.6	23.1	28
3/15/2023 13:16:08 	3.800000000	5.307567596	NaN	-0.000000000	0.029840757	0.000173706	1.986272727	0.023450334	1	0	22.6	23.1	28
3/15/2023 13:16:30 	3.900000000	5.397116184	NaN	-0.000000000	0.030585417	0.000305536	2.016500000	0.027384302	1	0	22.6	23.1	28
3/15/2023 13:16:53 	4.000000000	5.526598454	NaN	-0.000000000	0.031475910	0.000242855	2.041863636	0.009884561	1	0	22.6	23.1	28
3/15/2023 13:17:16 	4.100000000	5.633088589	NaN	-0.000000000	0.032118785	0.000224235	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:17:39 	4.200000000	5.731108189	NaN	-0.000000000	0.032953479	0.000220768	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:18:01 	4.300000000	5.843648911	NaN	-0.000000000	0.033641405	0.000186726	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:18:24 	4.400000000	5.961030006	NaN	-0.000000000	0.034522195	0.000246898	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:18:47 	4.500000000	6.077201366	NaN	-0.000000000	0.035208268	0.000306967	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:19:10 	4.600000000	6.187321663	NaN	-0.000000000	0.036006383	0.000322381	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:19:32 	4.700000000	6.284131050	NaN	-0.000000000	0.036866050	0.000439914	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:19:55 	4.800000000	6.401512146	NaN	-0.000000000	0.037657052	0.000469370	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:20:18 	4.900000000	6.549146175	NaN	-0.000000000	0.038463261	0.000421768	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:20:40 	5.000000000	6.658056736	NaN	-0.000000000	0.039384001	0.000363049	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:21:03 	5.100000000	6.794799805	NaN	-0.000000000	0.040246330	0.000349557	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:21:26 	5.200000000	6.879508018	NaN	-0.000000000	0.040971355	0.000334134	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:21:49 	5.300000000	6.987208366	NaN	-0.000000000	0.041823377	0.000198027	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:22:11 	5.400000000	7.105799675	NaN	-0.000000000	0.042556444	0.000198655	2.047500000	0.000000000	1	0	22.6	23.1	28
3/15/2023 13:41:48 	0.000000000	1.116936803	NaN	-0.000000000	-0.000002318	0.000000214	0.008818182	0.018966118	1	2	22.7	23.1	28
3/15/2023 13:42:11 	0.100000000	1.120567203	NaN	-0.000000000	0.000003720	0.000000195	0.003727273	0.001272078	1	2	22.7	23.1	28
3/15/2023 13:42:34 	0.200000000	1.124197483	NaN	-0.000000000	0.000049922	0.000000180	0.006727273	0.001765837	1	2	22.7	23.1	28
3/15/2023 13:42:57 	0.300000000	1.461819768	NaN	-0.000000000	0.002379112	0.000033063	0.155545455	0.005125693	1	2	22.7	23.1	28
3/15/2023 13:43:19 	0.400000000	1.577990890	NaN	-0.000000000	0.003166705	0.000029969	0.209318182	0.002421495	1	2	22.7	23.1	28
3/15/2023 13:43:42 	0.500000000	1.715944052	NaN	-0.000000000	0.003976980	0.000057266	0.262000000	0.002701851	1	2	22.7	23.1	28
3/15/2023 13:44:05 	0.600000000	1.834535480	NaN	-0.000000000	0.004739106	0.000064463	0.320090909	0.005224070	1	2	22.7	23.1	30
3/15/2023 13:44:28 	0.700000000	1.947076201	NaN	-0.000000000	0.005511817	0.000050844	0.368272727	0.003364251	1	2	22.7	23.1	30
3/15/2023 13:44:50 	0.800000000	2.051146269	NaN	-0.000000000	0.006298888	0.000044823	0.417136364	0.001582576	1	2	22.7	23.1	30
3/15/2023 13:45:13 	0.900000000	2.163686991	NaN	-0.000000000	0.007032926	0.000069096	0.467227273	0.002284334	1	2	22.7	23.1	30
3/15/2023 13:45:36 	1.000000000	2.282278299	NaN	-0.000000000	0.007861079	0.000067872	0.525590909	0.004259215	1	2	22.7	23.1	29
3/15/2023 13:45:58 	1.100000000	2.394819021	NaN	-0.000000000	0.008651505	0.000072664	0.575227273	0.002562846	1	2	22.7	23.1	29
3/15/2023 13:46:21 	1.200000000	2.506149769	NaN	-0.000000000	0.009449798	0.000088625	0.628772727	0.003783937	1	2	22.7	23.1	29
3/15/2023 13:46:44 	1.300000000	2.621110678	NaN	-0.000000000	0.010209026	0.000054735	0.688136364	0.005282475	1	2	22.7	23.1	29
3/15/2023 13:47:06 	1.400000000	2.730021000	NaN	-0.000000000	0.010995671	0.000033890	0.734318182	0.002326722	1	2	22.7	23.1	29
3/15/2023 13:47:29 	1.500000000	2.841351748	NaN	-0.000000000	0.011738104	0.000050283	0.796863636	0.005380943	1	2	22.7	23.2	29
3/15/2023 13:47:52 	1.600000000	2.957522869	NaN	-0.000000000	0.012541672	0.000081940	0.845636364	0.006083136	1	2	22.7	23.2	29
3/15/2023 13:48:14 	1.700000000	3.079744577	NaN	-0.000000000	0.013362758	0.000101053	0.895954545	0.008486620	1	2	22.7	23.2	29
3/15/2023 13:48:37 	1.800000000	3.192285299	NaN	-0.000000000	0.014123689	0.000111263	0.954681818	0.005505782	1	2	22.7	23.2	29
3/15/2023 13:49:00 	1.900000000	3.293935061	NaN	-0.000000000	0.014921049	0.000119556	1.005363636	0.003647540	1	2	22.7	23.2	29
3/15/2023 13:49:23 	2.000000000	3.430678129	NaN	-0.000000000	0.015742844	0.000154396	1.061090909	0.006460720	1	2	22.7	23.2	29
3/15/2023 13:49:45 	2.100000000	3.532327890	NaN	-0.000000000	0.016542191	0.000118342	1.118136364	0.006172888	1	2	22.7	23.2	29
3/15/2023 13:50:08 	2.200000000	3.644868612	NaN	-0.000000000	0.017260719	0.000164603	1.165272727	0.007620248	1	2	22.7	23.2	29
3/15/2023 13:50:31 	2.300000000	3.754989147	NaN	-0.000000000	0.017983235	0.000151586	1.210090909	0.018276786	1	2	22.7	23.2	29
3/15/2023 13:50:54 	2.400000000	3.854218721	NaN	-0.000000000	0.018696659	0.000154212	1.268500000	0.013592277	1	2	22.7	23.2	29
3/15/2023 13:51:16 	2.500000000	3.993381977	NaN	-0.000000000	0.019590223	0.000167325	1.324681818	0.008103310	1	2	22.7	23.2	29
3/15/2023 13:51:39 	2.600000000	4.091401100	NaN	-0.000000000	0.020347405	0.000137806	1.374454545	0.013169006	1	2	22.7	23.2	29
