Date	Time	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter
3/7/2023	17:39:04 PM	0.000000000	1.116936803	NaN	-0.000000000	-0.000002370	0.000000186	0.023545455	0.062533373	1
3/7/2023	17:39:27 PM	0.100000000	1.119357109	NaN	-0.000000000	0.000004766	0.000000182	0.004590909	0.001800253	1
3/7/2023	17:39:50 PM	0.200000000	1.127827883	NaN	-0.000000000	0.000061451	0.000000172	0.006000000	0.001843909	1
3/7/2023	17:40:12 PM	0.300000000	1.505383968	NaN	-0.000000000	0.003275415	0.000029499	0.090954545	0.000850134	1
3/7/2023	17:40:35 PM	0.400000000	1.648177624	NaN	-0.000000000	0.004287444	0.000041768	0.120318182	0.000783349	1
3/7/2023	17:40:57 PM	0.500000000	1.763138652	NaN	-0.000000000	0.005266857	0.000038386	0.146954545	0.000850134	1
3/7/2023	17:41:20 PM	0.600000000	1.881729960	NaN	-0.000000000	0.006271746	0.000063652	0.174090909	0.000735465	1
3/7/2023	17:41:43 PM	0.700000000	1.996690989	NaN	-0.000000000	0.007255403	0.000058291	0.201590909	0.000943880	1
3/7/2023	17:42:05 PM	0.800000000	2.104391336	NaN	-0.000000000	0.008198453	0.000054196	0.229409091	0.001200379	1
3/7/2023	17:42:28 PM	0.900000000	2.219352245	NaN	-0.000000000	0.009156140	0.000071923	0.255500000	0.001204159	1
3/7/2023	17:42:50 PM	1.000000000	2.329472780	NaN	-0.000000000	0.010158831	0.000077895	0.283500000	0.001500000	1
3/7/2023	17:43:13 PM	1.100000000	2.454114676	NaN	-0.000000000	0.011167210	0.000045789	0.310772727	0.001472475	1
3/7/2023	17:43:36 PM	1.200000000	2.578756571	NaN	-0.000000000	0.012113161	0.000075600	0.337909091	0.001841442	1
3/7/2023	17:43:58 PM	1.300000000	2.685246706	NaN	-0.000000000	0.013108699	0.000062687	0.366636364	0.003050335	1
3/7/2023	17:44:21 PM	1.400000000	2.802628040	NaN	-0.000000000	0.014121038	0.000074156	0.395272727	0.003642552	1
3/7/2023	17:44:43 PM	1.500000000	2.907908201	NaN	-0.000000000	0.015046070	0.000064745	0.422681818	0.003043622	1
3/7/2023	17:45:06 PM	1.600000000	3.028919697	NaN	-0.000000000	0.016058380	0.000089315	0.450318182	0.004371914	1
3/7/2023	17:45:29 PM	1.700000000	3.148721218	NaN	-0.000000000	0.017039641	0.000135493	0.477409091	0.003555406	1
3/7/2023	17:45:51 PM	1.800000000	3.260051727	NaN	-0.000000000	0.018079672	0.000100116	0.511590909	0.003039886	1
3/7/2023	17:46:14 PM	1.900000000	3.378643036	NaN	-0.000000000	0.019053635	0.000097284	0.540090909	0.003048099	1
3/7/2023	17:46:36 PM	2.000000000	3.492393970	NaN	-0.000000000	0.020017825	0.000102030	0.565909091	0.003462789	1
3/7/2023	17:46:59 PM	2.100000000	3.604934692	NaN	-0.000000000	0.020967694	0.000133762	0.589318182	0.005168524	1
3/7/2023	17:47:22 PM	2.200000000	3.721105814	NaN	-0.000000000	0.022021390	0.000171253	0.618318182	0.003776723	1
3/7/2023	17:47:44 PM	2.300000000	3.833646536	NaN	-0.000000000	0.022915892	0.000185038	0.647409091	0.003441062	1
3/7/2023	17:48:07 PM	2.400000000	3.946187496	NaN	-0.000000000	0.023965047	0.000224806	0.673454545	0.006732216	1
3/7/2023	17:48:30 PM	2.500000000	4.053887844	NaN	-0.000000000	0.024868928	0.000173433	0.701454545	0.004992267	1
3/7/2023	17:48:52 PM	2.600000000	4.157957554	NaN	-0.000000000	0.025934215	0.000277666	0.727227273	0.004033383	1
3/7/2023	17:49:15 PM	2.700000000	4.275338650	NaN	-0.000000000	0.026724484	0.000129184	0.753000000	0.005463515	1
3/7/2023	17:49:37 PM	2.800000000	4.390299797	NaN	-0.000000000	0.027769477	0.000176973	0.783181818	0.004681200	1
3/7/2023	17:50:00 PM	2.900000000	4.500420570	NaN	-0.000000000	0.028660800	0.000170967	0.811045455	0.007233445	1
3/7/2023	17:50:23 PM	3.000000000	4.615381241	NaN	-0.000000000	0.029746358	0.000228258	0.839000000	0.009186947	1
3/7/2023	17:50:45 PM	3.100000000	4.738813400	NaN	-0.000000000	0.030719317	0.000167413	0.863318182	0.005316356	1
3/7/2023	17:51:08 PM	3.200000000	4.854984283	NaN	-0.000000000	0.031678193	0.000138217	0.890454545	0.006721066	1
3/7/2023	17:51:30 PM	3.300000000	4.977206230	NaN	-0.000000000	0.032672787	0.000166820	0.917409091	0.011538670	1
3/7/2023	17:51:53 PM	3.400000000	5.075225353	NaN	-0.000000000	0.033599323	0.000160930	0.949454545	0.004344275	1
3/7/2023	17:52:16 PM	3.500000000	5.231330395	NaN	-0.000000000	0.034668420	0.000141087	0.969272727	0.004921197	1
3/7/2023	17:52:38 PM	3.600000000	5.328139782	NaN	-0.000000000	0.035670885	0.000142424	0.999136364	0.008529628	1
3/7/2023	17:53:01 PM	3.700000000	5.437049866	NaN	-0.000000000	0.036727923	0.000150021	1.025090909	0.009286598	1
3/7/2023	17:53:23 PM	3.800000000	5.567742348	NaN	-0.000000000	0.037817968	0.000214569	1.056272727	0.007643179	1
3/7/2023	17:53:46 PM	3.900000000	5.700855255	NaN	-0.000000000	0.038764602	0.000219634	1.084136364	0.007576579	1
3/7/2023	17:54:09 PM	4.000000000	5.803715229	NaN	-0.000000000	0.039647553	0.000200638	1.111636364	0.004801515	1
3/7/2023	17:54:31 PM	4.100000000	5.905364990	NaN	-0.000000000	0.040621873	0.000212852	1.150454545	0.007319339	1
3/7/2023	17:54:54 PM	4.200000000	6.028796673	NaN	-0.000000000	0.041492736	0.000204968	1.175409091	0.008963309	1
3/7/2023	17:55:16 PM	4.300000000	6.141337395	NaN	-0.000000000	0.042495648	0.000213208	1.190045455	0.014538663	1
3/7/2023	17:55:39 PM	4.400000000	6.253878117	NaN	-0.000000000	0.043470137	0.000323753	1.231318182	0.011232259	1
3/7/2023	17:56:02 PM	4.500000000	6.355527878	NaN	-0.000000000	0.044621014	0.000422901	1.261500000	0.006530697	1
3/7/2023	17:56:24 PM	4.600000000	6.470489025	NaN	-0.000000000	0.045428788	0.000480178	1.299318182	0.010782562	1
3/7/2023	17:56:47 PM	4.700000000	6.604811668	NaN	-0.000000000	0.046395038	0.000474151	1.318727273	0.013635182	1
3/7/2023	17:57:09 PM	4.800000000	6.722192764	NaN	-0.000000000	0.047125497	0.000447206	1.351681818	0.016413825	1
3/7/2023	17:57:32 PM	4.900000000	6.825052738	NaN	-0.000000000	0.048058453	0.000344503	1.363045455	0.016904814	1
