Date	Time	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter
3/6/2023	12:57:23 PM	0.000000000	1.116936803	0.000000000	0.000000000	-0.000002122	0.000000177	NaN	-0.000000000	1
3/6/2023	12:57:46 PM	0.100000000	1.119357109	0.000000000	0.000000000	0.000005404	0.000000174	NaN	-0.000000000	1
3/6/2023	12:58:09 PM	0.200000000	1.127827883	0.000000980	0.000000141	0.000068174	0.000000196	NaN	-0.000000000	1
3/6/2023	12:58:31 PM	0.300000000	1.475131035	0.000023130	0.000004104	0.003252904	0.000054435	NaN	-0.000000000	1
3/6/2023	12:58:54 PM	0.400000000	1.620344996	0.000031180	0.000003189	0.004387682	0.000085267	NaN	-0.000000000	1
3/6/2023	12:59:18 PM	0.500000000	1.738936305	0.000039520	0.000000502	0.005504830	0.000057792	NaN	-0.000000000	1
3/6/2023	12:59:41 PM	0.600000000	1.851477027	0.000046640	0.000004726	0.006525355	0.000070721	NaN	-0.000000000	1
3/6/2023	13:00:04 PM	0.700000000	1.983379722	0.000055100	0.000000503	0.007631601	0.000076276	NaN	-0.000000000	1
3/6/2023	13:00:28 PM	0.800000000	2.094710350	0.000063030	0.000000703	0.008752455	0.000099169	NaN	-0.000000000	1
3/6/2023	13:00:51 PM	0.900000000	2.210881472	0.000070590	0.000000726	0.009762859	0.000108242	NaN	-0.000000000	1
3/6/2023	13:01:13 PM	1.000000000	2.337943554	0.000078330	0.000007954	0.010894007	0.000097483	NaN	-0.000000000	1
3/6/2023	13:01:36 PM	1.100000000	2.450484276	0.000085860	0.000008766	0.012018399	0.000093126	NaN	-0.000000000	1
3/6/2023	13:01:59 PM	1.200000000	2.577546597	0.000094560	0.000001122	0.013085693	0.000081643	NaN	-0.000000000	1
3/6/2023	13:02:21 PM	1.300000000	2.691297293	0.000102600	0.000001371	0.014204369	0.000089466	NaN	-0.000000000	1
3/6/2023	13:02:44 PM	1.400000000	2.814729214	0.000109470	0.000015753	0.015327031	0.000131096	NaN	-0.000000000	1
3/6/2023	13:03:06 PM	1.500000000	2.933320522	0.000115730	0.000020476	0.016367579	0.000133287	NaN	-0.000000000	1
3/6/2023	13:03:29 PM	1.600000000	3.041020870	0.000126430	0.000012799	0.017525188	0.000183043	NaN	-0.000000000	1
3/6/2023	13:03:52 PM	1.700000000	3.162032366	0.000135800	0.000000921	0.018594789	0.000145858	NaN	-0.000000000	1
3/6/2023	13:04:14 PM	1.800000000	3.283044100	0.000143980	0.000000738	0.019727563	0.000158080	NaN	-0.000000000	1
